"","graph.type","measure","average","std.dev"
"1","random","degree",0.0371717171717172,0.0196789753484208
"2","random","degree",0.0375757575757576,0.0205600355057322
"3","random","degree",0.0397979797979798,0.0189283204031923
"4","random","degree",0.0385858585858586,0.0194948146874715
"5","random","degree",0.0458585858585859,0.0209739275610094
"6","random","degree",0.0391919191919192,0.0247955800971402
"7","random","degree",0.042020202020202,0.0214260352413614
"8","random","degree",0.0412121212121212,0.0189206961405575
"9","random","degree",0.0408080808080808,0.0195760588211062
"10","random","degree",0.0434343434343434,0.0211734601842929
"11","random","degree",0.0422222222222222,0.0215057343950195
"12","random","degree",0.0424242424242424,0.0190466473046881
"13","random","degree",0.0395959595959596,0.0200833161887413
"14","random","degree",0.0341414141414141,0.0196737375384884
"15","random","degree",0.0438383838383838,0.0206670286071336
"16","random","degree",0.0432323232323232,0.0200010408891674
"17","random","degree",0.043030303030303,0.0194545951453023
"18","random","degree",0.036969696969697,0.0203656266690357
"19","random","degree",0.0393939393939394,0.0202275117203021
"20","random","degree",0.044040404040404,0.0200237002969985
"21","random","degree",0.0426262626262626,0.0224529121054511
"22","random","degree",0.043030303030303,0.0227737623803595
"23","random","degree",0.0434343434343434,0.0191814447920334
"24","random","degree",0.0377777777777778,0.018532148474887
"25","random","degree",0.0402020202020202,0.0194736568619546
"26","random","degree",0.034949494949495,0.0176666346107728
"27","random","degree",0.041010101010101,0.0199360101090159
"28","random","degree",0.0329292929292929,0.0177945121635834
"29","random","degree",0.038989898989899,0.0176432845680404
"30","random","degree",0.0402020202020202,0.0199442797392
"31","random","degree",0.0444444444444444,0.0211977835239434
"32","random","degree",0.0347474747474747,0.0190098170360025
"33","random","degree",0.0381818181818182,0.0194524760237727
"34","random","degree",0.0391919191919192,0.0222083046269307
"35","random","degree",0.037979797979798,0.0191610166899935
"36","random","degree",0.0397979797979798,0.018543267542591
"37","random","degree",0.0458585858585859,0.0207764471485729
"38","random","degree",0.0402020202020202,0.0192608003561671
"39","random","degree",0.0408080808080808,0.0214836787010318
"40","random","degree",0.0397979797979798,0.0210426078650064
"41","random","degree",0.0357575757575758,0.0184652934645011
"42","random","degree",0.0393939393939394,0.018801576587617
"43","random","degree",0.0418181818181818,0.0211500834615326
"44","random","degree",0.0432323232323232,0.0194789484728406
"45","random","degree",0.038989898989899,0.0183308519714696
"46","random","degree",0.0501010101010101,0.023012360169475
"47","random","degree",0.0448484848484849,0.0216461682420617
"48","random","degree",0.0371717171717172,0.0189315870043734
"49","random","degree",0.0424242424242424,0.0206560548745675
"50","random","degree",0.0395959595959596,0.0208882530146746
"51","random","degree",0.04,0.0187147683421223
"52","random","degree",0.0418181818181818,0.0203555030780791
"53","random","degree",0.0414141414141414,0.0180178300003201
"54","random","degree",0.0408080808080808,0.021579408961732
"55","random","degree",0.0397979797979798,0.0195180618052287
"56","random","degree",0.0363636363636364,0.0225179971322308
"57","random","degree",0.0404040404040404,0.0212463466655381
"58","random","degree",0.0367676767676768,0.0203301720457442
"59","random","degree",0.0373737373737374,0.0183578190356582
"60","random","degree",0.0418181818181818,0.0219628498970912
